Rank,League,Team,Possession,SPPLBP,npxGD,cluster
1,EPL,Liverpool,0.9246861924686193,0.5101458820020877,0.7059052868801419,4
2,EPL,Manchester City,0.9874476987447699,0.8243678884223772,1.0,1
3,EPL,Manchester United,0.8200836820083682,0.6195274173091871,0.56222537279905,4
4,EPL,Chelsea,0.8891213389121339,0.6169182981145226,0.6919849520566068,4
5,EPL,Leicester,0.8305439330543932,0.5109440495717149,0.5133286856263,4
6,EPL,Tottenham,0.7552301255230126,0.45666865483705277,0.30760073285944783,6
7,EPL,Wolverhampton,0.696652719665272,0.24264236859314525,0.5225937829891737,2
8,EPL,Arsenal,0.7845188284518828,0.49139647399857644,0.31317637203889753,6
9,EPL,Sheffield United,0.606694560669456,0.13910582260773624,0.3077285413101543,2
10,EPL,Burnley,0.5962343096234309,0.08181417597259777,0.28807710893797017,2
11,EPL,Southampton,0.707112970711297,0.21321563315190045,0.32949722027209893,2
12,EPL,Everton,0.702928870292887,0.2547956063538349,0.41684527729928206,2
13,EPL,Newcastle,0.5523012552301254,0.15306091454259851,0.007151897457978229,3
14,EPL,Crystal Palace,0.6485355648535565,0.26147539953369403,0.06665668379805473,3
15,EPL,Brighton,0.7594142259414226,0.39130008371095937,0.19525006921697002,6
16,EPL,West Ham,0.6276150627615062,0.2110786334132425,0.14212963930721106,3
17,EPL,Aston Villa,0.6338912133891214,0.18372068467749164,0.06928748282564134,3
18,EPL,Bournemouth,0.6317991631799162,0.28423595381290845,0.22822120460605616,3
19,EPL,Watford,0.6046025104602509,0.1906888142536038,0.14920124856511205,3
20,EPL,Norwich,0.7196652719665272,0.35707357606422574,0.0,3
1,La_liga,Real Madrid,0.8723849372384936,0.45421275462281474,0.7030582317134015,4
2,La_liga,Barcelona,0.9999999999999999,0.9999999999999999,0.7322742654372966,1
3,La_liga,Atletico Madrid,0.700836820083682,0.30647786910818486,0.5237793451065534,2
4,La_liga,Sevilla,0.8472803347280334,0.32782160431148943,0.6120062421240302,4
5,La_liga,Villarreal,0.2970711297071129,0.3285934586645357,0.515641480893863,5
6,La_liga,Real Sociedad,0.8200836820083682,0.44868697914077893,0.47535713537637103,4
7,La_liga,Granada,0.6234309623430963,0.09545087854715423,0.35857088599675024,2
8,La_liga,Getafe,0.6359832635983262,0.0,0.3556654043658368,2
9,La_liga,Valencia,0.711297071129707,0.3056972217491717,0.19791320474186608,3
10,La_liga,Osasuna,0.6778242677824267,0.10590061357147196,0.3097806980216712,2
11,La_liga,Athletic Bilbao,0.702928870292887,0.1515718347975663,0.19940274562312227,3
12,La_liga,Levante,0.698744769874477,0.21298682889716242,0.1931873469710005,3
13,La_liga,Real Valladolid,0.0,0.12314702870035965,0.15089350583294886,5
14,La_liga,Eibar,0.6548117154811716,0.04889157504814229,0.17314984113915433,3
15,La_liga,Real Betis,0.8430962343096234,0.38683575662660274,0.2828466090564352,6
16,La_liga,Deportivo Alaves,0.5815899581589958,0.10574098005754651,0.19411457123685585,3
17,La_liga,Celta Vigo,0.7510460251046024,0.3880262438490979,0.2583431253263984,6
18,La_liga,Leganes,0.6192468619246861,0.12148592738875336,0.28179776571691856,2
19,La_liga,Mallorca,0.6464435146443513,0.2729127432517263,0.11385446934003099,3
20,La_liga,Espanyol,0.6715481171548117,0.15724179228826574,0.18522468482564144,3
